HATLASDR1,RA,DEC,S500,eS500,S350,eS350,S250,eS250,ZA,ErrorZA,ZB,ErrorZB
J090740.0-004200,136.91666666666666,-0.7,183.0,9.0,358.0,8.0,507.0,7.0,1.5800000429153442,0.009999999776482582,1.369585581448713,0.015045608848969301
J091043.0-000321,137.67916666666665,-0.055833333333333325,249.0,10.0,403.0,8.0,462.0,7.0,1.7899999618530273,0.009999999776482582,1.8290438441772698,0.07905331758257313
J090302.9-014127,135.76208333333332,-1.6908333333333332,230.0,9.0,342.0,8.0,343.0,7.0,3.0399999618530273,0.009999999776482582,2.1842227809344954,0.046974514841107776
J091331.3-003642,138.38041666666666,-0.6116666666666666,89.0,10.0,151.0,8.0,187.0,7.0,1.5,0.30000001192092896,1.6533448995951594,0.017765663420744218
J090051.0+015049,135.21249999999998,1.8469444444444443,54.0,10.0,120.0,8.0,177.0,7.0,1.3200000524520874,0.2800000011920929,1.2589745951253222,0.06480631317421365
J090952.9-010811,137.47041666666664,-1.1363888888888887,90.0,9.0,131.0,8.0,159.0,7.0,1.5399999618530273,0.4000000059604645,1.762065929344764,0.20471496851581772
J091341.4-004342,138.42249999999999,-0.7283333333333333,72.0,9.0,124.0,8.0,159.0,7.0,1.5299999713897705,0.30000001192092896,1.587399587334561,0.021504540356944372
J090957.6-003619,137.48999999999998,-0.6052777777777777,83.0,9.0,129.0,8.0,132.0,7.0,1.909999966621399,0.46000000834465027,2.1143036955516123,0.02372034652615396
J090749.7-003807,136.95708333333332,-0.6352777777777777,69.0,9.0,113.0,8.0,140.0,7.0,1.4800000190734863,0.3400000035762787,1.667760172466048,0.05405766674122308
J090311.6+003906,135.79833333333332,0.6516666666666666,173.0,10.0,202.0,8.0,135.0,7.0,2.630000114440918,0.009999999776482582,3.0737418659734805,0.06099496134836674
J090356.8+002310,135.98666666666665,0.38611111111111107,64.0,9.0,115.0,8.0,131.0,7.0,1.4199999570846558,0.36000001430511475,1.7978523840441198,0.044412375950725703
J090448.8+021646,136.20333333333332,2.279444444444444,52.0,9.0,97.0,8.0,126.0,7.0,1.4700000286102295,0.28999999165534973,1.519905405173906,0.028135658728760275
J090033.8+001957,135.14083333333332,0.33249999999999996,44.0,9.0,94.0,8.0,125.0,7.0,1.3300000429153442,0.2800000011920929,1.4243378752192966,0.0845170323090422
J090459.3+020837,136.2470833333333,2.143611111111111,66.0,9.0,102.0,8.0,111.0,7.0,1.7899999618530273,0.4099999964237213,2.0239867569424366,0.05758152152628473
J091056.5-002919,137.73541666666665,-0.48861111111111105,54.0,9.0,98.0,8.0,116.0,7.0,1.6799999475479126,0.3100000023841858,1.7131132758822614,0.048594894596603204
J091521.5-002443,138.8395833333333,-0.4119444444444444,82.0,9.0,106.0,8.0,116.0,7.0,2.190000057220459,0.41999998688697815,2.145591898713575,0.21726193875208924
J090542.0+020733,136.42499999999998,2.125833333333333,58.0,10.0,100.0,8.0,112.0,7.0,1.8200000524520874,0.33000001311302185,1.8566405562929567,0.0040930740399027585
J091304.9-005343,138.27041666666665,-0.8952777777777776,112.0,9.0,141.0,8.0,110.0,7.0,2.299999952316284,0.009999999776482582,2.7496573446923733,0.003242048441154727
