HATLASDR1,RA,DEC,S500,eS500,S350,eS350,S250,eS250,ZA,ErrorZA,ZB,ErrorZB
J090204.1-003829,135.51708333333332,-0.6413888888888888,61.0,9.0,87.0,8.0,79.0,7.0,2.4000000953674316,0.38999998569488525,2.3741637282628885,0.009998901054615919
J090930.4+002224,137.37666666666664,0.3733333333333333,57.0,9.0,85.0,8.0,76.0,7.0,2.390000104904175,0.4000000059604645,2.356575909934361,0.0402391840172686
J090409.4+010734,136.03916666666666,1.126111111111111,55.0,10.0,86.0,8.0,79.0,7.0,2.2899999618530273,0.38999998569488525,2.2775755719010324,0.0564482488228649
J090310.6+015149,135.79416666666665,1.8636111111111109,71.0,9.0,105.0,8.0,77.0,7.0,2.690000057220459,0.49000000953674316,2.6595639693411828,0.21187972075149153
J085859.2+002818,134.74666666666664,0.4716666666666666,52.0,9.0,85.0,8.0,77.0,7.0,2.2799999713897705,0.4099999964237213,2.2559770191783985,0.10015541237487242
J090530.4+012800,136.37666666666664,1.4666666666666666,65.0,9.0,90.0,8.0,78.0,7.0,2.509999990463257,0.4099999964237213,2.478079385959342,2.4204688069677283E-4
J090818.9+023330,137.07874999999999,2.558333333333333,57.0,10.0,92.0,8.0,77.0,7.0,2.4200000762939453,0.4399999976158142,2.4029700956757183,0.16301736368537326
J090441.5+015154,136.17291666666665,1.8649999999999998,70.0,10.0,87.0,8.0,76.0,7.0,2.5999999046325684,0.41999998688697815,2.5734156290988657,0.10231860585897022
J090739.1-003948,136.91291666666666,-0.6633333333333332,81.0,9.0,99.0,8.0,73.0,7.0,2.890000104904175,0.44999998807907104,2.8712529549780306,0.027549889130479698
J091257.2+000300,138.23833333333332,0.049999999999999996,87.0,10.0,96.0,8.0,69.0,7.0,3.0299999713897705,0.46000000834465027,3.0287201083792015,0.05761473224225605
J090819.1-002026,137.07958333333332,-0.3405555555555555,66.0,10.0,93.0,8.0,69.0,7.0,2.7100000381469727,0.4699999988079071,2.7090462743733488,0.16190336718450607
J090813.0-003657,137.05416666666665,-0.6158333333333332,65.0,10.0,88.0,8.0,66.0,7.0,2.740000009536743,0.44999998807907104,2.734577880623938,0.11373137043425978
J085908.5+011320,134.78541666666666,1.222222222222222,70.0,10.0,87.0,8.0,67.0,7.0,2.809999942779541,0.4399999976158142,2.7868503143125976,0.0017629994684371798
